Gender,Age,Under 30,Senior Citizen,Married,Number of Dependents,City,Zip Code,Latitude,Longitude,Number of Referrals,Tenure in Months,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Churn Label,Population,30 to 64,Household Size,Is Alone,Receive Refund,Total Services Subscribed,Cost per GB,Historical Avg Monthly Charge,Bill Shock,Tenure Group,Referral a Friend,Under-Utilizing Unlimited
Female,55,No,No,Yes,0,Lancaster,93534,34.727529,-118.153098,1,42,No,0.0,No,Yes,Cable,5,No,Yes,No,Yes,No,No,No,No,One Year,No,Mailed Check,33.55,1445.3,0.0,50,0.0,1495.3,Yes,35109,Yes,2,No,No,2,6.70998658002684,34.41190476190476,No,Loyal (2-4y),Yes,No
Female,38,No,No,No,0,Pearblossom,93553,34.445239,-117.894868,0,57,Yes,48.86,Yes,Yes,Fiber Optic,6,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,112.95,6465.0,0.0,0,2785.02,9250.02,Yes,1613,Yes,1,Yes,No,7,18.824968625052293,113.42105263157895,No,Very Loyal (4y+),No,Yes
Male,54,No,No,No,0,Rosamond,93560,34.903052,-118.411251,0,1,No,0.0,No,Yes,Cable,29,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,35.9,35.9,0.0,0,0.0,35.9,Yes,14931,Yes,1,Yes,No,2,1.2379306076101353,35.9,No,New (0-1y),No,No
Male,30,No,No,No,0,Tehachapi,93561,35.073777,-118.652112,0,38,Yes,31.27,Yes,Yes,Fiber Optic,85,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.25,3777.15,0.0,0,1188.26,4965.41,Yes,25805,Yes,1,Yes,No,5,1.1676469214533034,99.39868421052631,No,Loyal (2-4y),No,No
Female,26,Yes,No,No,0,Cantua Creek,93608,36.488056,-120.407691,0,8,Yes,19.68,Yes,Yes,Fiber Optic,41,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,103.35,847.3,0.0,0,157.44,1004.74,Yes,1766,No,1,Yes,No,6,2.520731092504611,105.9125,No,New (0-1y),No,No
Female,55,No,No,No,0,Dinuba,93618,36.523619,-119.386868,0,18,Yes,13.65,Yes,Yes,Fiber Optic,5,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,90.0,1527.35,0.0,0,245.7,1773.05,Yes,24206,Yes,1,Yes,No,3,17.999964000072,84.85277777777777,Yes,Standard (1-2y),No,Yes
Male,58,No,No,Yes,0,Five Points,93624,36.397745,-120.119911,1,28,Yes,9.62,Yes,Yes,Fiber Optic,24,Yes,Yes,No,No,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,106.1,2847.4,0.0,0,269.36,3116.76,Yes,1852,Yes,2,No,No,6,4.420831491320212,101.69285714285715,Yes,Loyal (2-4y),Yes,No
Female,30,No,No,No,0,Hume,93628,36.807595,-118.901544,0,5,Yes,10.11,No,Yes,Fiber Optic,69,No,Yes,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,89.35,461.7,0.0,0,50.55,512.25,Yes,93,Yes,1,Yes,No,4,1.2949273485612538,92.34,No,New (0-1y),No,No
Female,32,No,No,No,0,North Fork,93643,37.244307,-119.470256,0,1,Yes,27.7,Yes,Yes,Fiber Optic,19,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,77.15,77.15,0.0,10,27.7,114.85,Yes,3376,Yes,1,Yes,No,1,4.060524178671486,77.15,No,New (0-1y),No,No
Male,53,No,No,No,0,Oakhurst,93644,37.648647,-119.231447,0,1,No,0.0,No,Yes,DSL,9,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,35.25,35.25,0.0,0,0.0,35.25,Yes,8521,Yes,1,Yes,No,2,3.9166623148196504,35.25,No,New (0-1y),No,Yes
Male,26,Yes,No,Yes,0,Orosi,93647,36.600185,-119.175655,4,4,No,0.0,No,Yes,DSL,76,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,48.55,201.0,0.0,0,0.0,201.0,Yes,9780,No,2,No,No,4,0.638815705418986,50.25,No,New (0-1y),Yes,No
Female,45,No,No,Yes,0,Prather,93651,37.007238,-119.505661,1,53,Yes,41.74,Yes,Yes,Fiber Optic,24,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,98.4,5149.5,0.0,0,2212.2200000000003,7361.72,Yes,1314,Yes,2,No,No,5,4.0999982916673785,97.16037735849056,Yes,Very Loyal (4y+),Yes,No
Female,44,No,No,No,0,Traver,93673,36.456091,-119.486225,0,14,Yes,1.19,Yes,Yes,Fiber Optic,23,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.45,1072.0,0.0,0,16.66,1088.66,Yes,646,Yes,1,Yes,No,2,3.4978245661632323,76.57142857142857,Yes,Standard (1-2y),No,No
Male,60,No,No,No,0,Fresno,93702,36.739385,-119.753649,0,31,Yes,1.53,No,Yes,DSL,6,No,No,Yes,Yes,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,55.25,1715.65,0.0,10,47.43,1773.0800000000002,Yes,47999,Yes,1,Yes,No,2,9.20831798613669,55.343548387096774,No,Loyal (2-4y),No,No
Male,28,Yes,No,Yes,0,Fresno,93706,36.654614,-119.903674,1,13,No,0.0,No,Yes,Cable,71,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,54.45,706.85,0.0,0,0.0,706.85,Yes,35790,No,2,No,No,5,0.7669013004364366,54.37307692307692,Yes,Standard (1-2y),Yes,No
Male,53,No,No,No,0,San Dimas,91773,34.102119,-117.815532,0,35,Yes,25.04,Yes,Yes,Fiber Optic,21,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,75.35,2636.05,0.0,0,876.4,3512.4500000000003,Yes,33878,Yes,1,Yes,No,1,3.5880935294792713,75.3157142857143,Yes,Loyal (2-4y),No,No
Male,55,No,No,No,0,Salinas,93906,36.722898,-121.633648,0,2,Yes,42.16,No,Yes,Cable,2,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.7,189.2,0.0,0,84.32,273.52,Yes,53946,Yes,1,Yes,No,1,37.84981075094625,94.6,No,New (0-1y),No,Yes
Male,28,Yes,No,No,0,Carmel Valley,93924,36.414611,-121.6386,0,1,Yes,21.8,Yes,Yes,Fiber Optic,42,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,74.25,74.25,0.0,0,21.8,96.05,Yes,6691,No,1,Yes,No,1,1.7678567219388757,74.25,No,New (0-1y),No,No
Male,52,No,No,No,0,Brisbane,94005,37.684694,-122.40712,0,1,Yes,3.14,No,No,No Internet Service,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,19.4,19.4,0.0,0,3.14,22.54,Yes,3635,Yes,1,Yes,No,0,1939999.9999999998,19.4,No,New (0-1y),No,No
Female,46,No,No,No,0,Burlingame,94010,37.57028,-122.365778,0,9,Yes,29.7,Yes,Yes,Fiber Optic,17,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,83.3,803.3,0.0,0,267.3,1070.6,Yes,40346,Yes,1,Yes,No,3,4.899997117648755,89.25555555555555,No,New (0-1y),No,Yes
Female,34,No,No,No,0,Daly City,94014,37.691561,-122.445202,0,8,Yes,36.39,No,Yes,Fiber Optic,7,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.1,679.3,0.0,0,291.12,970.42,Yes,47453,Yes,1,Yes,No,1,11.44284079594172,84.9125,No,New (0-1y),No,Yes
Male,62,No,No,No,0,Atherton,94027,37.454924,-122.203168,0,25,Yes,5.57,Yes,No,No Internet Service,0,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,25.3,676.35,0.0,0,139.25,815.6,Yes,6876,Yes,1,Yes,No,1,2530000.0,27.054000000000002,No,Loyal (2-4y),No,No
Male,46,No,No,No,0,Mountain View,94043,37.419725,-122.062947,0,13,Yes,3.36,Yes,Yes,Fiber Optic,15,Yes,No,No,No,Yes,Yes,Yes,No,Month-to-Month,No,Mailed Check,98.15,1230.25,0.0,40,43.68,1313.93,Yes,27822,Yes,1,Yes,No,5,6.54332897111402,94.63461538461539,Yes,Standard (1-2y),No,No
Male,48,No,No,No,0,San Francisco,94105,37.789168,-122.395009,0,46,Yes,15.78,Yes,Yes,Fiber Optic,3,Yes,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.7,4154.8,0.0,0,725.88,4880.68,Yes,2066,Yes,1,Yes,No,5,31.233229222569257,90.32173913043479,Yes,Loyal (2-4y),No,Yes
Male,36,No,No,No,0,San Francisco,94110,37.750021,-122.415201,0,18,Yes,12.5,Yes,Yes,DSL,5,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,82.0,1425.45,0.0,0,225.0,1650.45,Yes,74641,Yes,1,Yes,No,6,16.3999672000656,79.19166666666666,Yes,Standard (1-2y),No,Yes
Male,59,No,No,Yes,0,San Francisco,94114,37.758085,-122.434801,1,60,Yes,35.22,Yes,Yes,Fiber Optic,16,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.75,5742.9,0.0,0,2113.2,7856.099999999999,Yes,30587,Yes,2,No,No,4,5.984371259767963,95.71499999999999,Yes,Very Loyal (4y+),Yes,Yes
Male,33,No,No,Yes,0,San Francisco,94117,37.770533,-122.445121,1,30,Yes,10.5,Yes,Yes,Fiber Optic,22,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,94.05,2866.45,0.0,0,315.0,3181.45,Yes,38756,Yes,2,No,No,4,4.274998056819065,95.54833333333333,No,Loyal (2-4y),Yes,No
Female,44,No,No,No,0,San Francisco,94122,37.760412,-122.484966,0,1,Yes,13.01,No,Yes,DSL,12,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,54.75,54.75,0.0,0,13.01,67.76,Yes,55504,Yes,1,Yes,No,2,4.5624961979198355,54.75,No,New (0-1y),No,Yes
Female,56,No,No,No,0,San Francisco,94129,37.797526,-122.464531,0,1,Yes,1.17,Yes,Yes,Fiber Optic,27,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.6,94.6,0.0,0,1.17,95.77,Yes,2240,Yes,1,Yes,No,4,3.5037024060361457,94.6,No,New (0-1y),No,No
Male,61,No,No,Yes,6,Concord,94521,37.971421,-121.971504,2,7,No,0.0,No,Yes,Cable,30,Yes,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,34.5,279.25,0.0,0,0.0,279.25,Yes,39888,Yes,8,No,No,2,1.1499996166667945,39.892857142857146,No,New (0-1y),Yes,No
Male,44,No,No,Yes,0,Pleasant Hill,94523,37.95338,-122.076886,1,61,Yes,45.7,Yes,Yes,Fiber Optic,24,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,105.55,6281.45,0.0,0,2787.7000000000003,9069.15,Yes,32685,Yes,2,No,No,6,4.397914834202153,102.97459016393442,Yes,Very Loyal (4y+),Yes,No
Female,56,No,No,No,2,Crockett,94525,38.049292,-122.228415,0,39,No,0.0,No,Yes,DSL,24,No,No,Yes,No,No,No,No,No,Month-to-Month,No,Credit Card,30.1,1131.3,0.0,150,0.0,1281.3,Yes,3193,Yes,3,No,No,1,1.25416614409744,29.007692307692306,Yes,Loyal (2-4y),No,No
Male,36,No,No,Yes,0,Danville,94526,37.815459,-121.977203,1,10,Yes,31.72,No,Yes,Fiber Optic,23,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.3,738.2,0.0,0,317.2,1055.4,Yes,32873,Yes,2,No,No,0,3.0565204102085173,73.82000000000001,No,New (0-1y),Yes,No
Female,25,Yes,No,No,0,Fairfield,94533,38.287136,-122.02711,0,1,Yes,1.23,Yes,Yes,Fiber Optic,69,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,80.2,80.2,0.0,0,1.23,81.43,Yes,77683,No,1,Yes,No,2,1.1623186721277288,80.2,No,New (0-1y),No,No
Female,41,No,No,Yes,0,Travis Afb,94535,38.265899,-121.939461,1,67,Yes,30.94,Yes,Yes,Fiber Optic,11,Yes,No,No,Yes,No,Yes,Yes,Yes,One Year,Yes,Credit Card,94.35,6341.45,0.0,0,2072.98,8414.43,Yes,9978,Yes,2,No,No,5,8.577264929759155,94.64850746268657,No,Very Loyal (4y+),Yes,Yes
Male,61,No,No,Yes,1,Fremont,94538,37.505768,-121.962472,5,6,Yes,49.2,No,Yes,DSL,21,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,44.6,260.8,0.0,0,295.20000000000005,556.0,Yes,56126,Yes,3,No,No,0,2.123808512472137,43.46666666666667,Yes,New (0-1y),Yes,No
Female,24,Yes,No,No,0,Fremont,94539,37.516791,-121.899117,0,1,Yes,5.36,No,No,No Internet Service,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,19.6,19.6,0.0,0,5.36,24.96,Yes,46917,No,1,Yes,No,0,1960000.0,19.6,No,New (0-1y),No,No
Male,21,Yes,No,No,0,Moraga,94556,37.827946,-122.107185,0,2,Yes,36.06,No,Yes,Fiber Optic,85,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,70.7,140.7,0.0,0,72.12,212.82,Yes,16510,No,1,Yes,No,0,0.8317646080276931,70.35,Yes,New (0-1y),No,No
Male,21,Yes,No,Yes,0,Orinda,94563,37.873916,-122.20522,1,1,Yes,37.83,No,Yes,Fiber Optic,51,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.8,84.8,0.0,0,37.83,122.63,Yes,17964,No,2,No,No,2,1.6627447720108288,84.8,No,New (0-1y),Yes,No
Male,21,Yes,No,No,0,Pope Valley,94567,38.672708,-122.403219,0,52,Yes,49.29,No,Yes,Fiber Optic,51,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,105.0,5426.85,0.0,0,2563.08,7989.93,Yes,494,No,1,Yes,No,6,2.0588231257209557,104.36250000000001,Yes,Very Loyal (4y+),No,No
Male,62,No,No,No,0,Dublin,94568,37.713926,-121.928425,0,22,Yes,7.28,Yes,Yes,DSL,7,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,54.45,1127.35,0.0,0,160.16,1287.51,Yes,29636,Yes,1,Yes,No,2,7.778560316342406,51.24318181818182,Yes,Standard (1-2y),No,Yes
Female,40,No,No,Yes,0,Rodeo,94572,38.027218,-122.23463,1,47,Yes,44.26,No,Yes,Cable,23,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,85.3,4045.65,0.0,0,2080.22,6125.87,Yes,8506,Yes,2,No,No,3,3.7086940396982437,86.07765957446809,No,Loyal (2-4y),Yes,No
Female,51,No,No,No,0,Saint Helena,94574,38.581354,-122.296283,0,33,Yes,20.29,Yes,Yes,Fiber Optic,30,No,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,83.35,2757.85,0.0,40,669.5699999999999,3467.42,Yes,9423,Yes,1,Yes,No,3,2.7783324072225306,83.57121212121211,No,Loyal (2-4y),No,No
Male,59,No,No,No,0,Deer Park,94576,38.554383,-122.474773,0,18,No,0.0,No,Yes,DSL,26,No,Yes,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,33.5,600.0,0.0,0,0.0,600.0,Yes,223,Yes,1,Yes,No,2,1.2884610428995988,33.333333333333336,Yes,Standard (1-2y),No,No
Male,64,No,No,No,0,Sunol,94586,37.587494,-121.862856,0,24,Yes,32.49,No,Yes,Fiber Optic,23,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,90.35,2238.5,0.0,0,779.76,3018.26,Yes,790,Yes,1,Yes,No,3,3.9282591616264515,93.27083333333333,No,Standard (1-2y),No,No
Male,26,Yes,No,Yes,0,Vallejo,94589,38.161321,-122.271588,0,1,Yes,23.06,No,Yes,Fiber Optic,52,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,90.75,90.75,0.0,0,23.06,113.81,Yes,42209,No,2,No,No,3,1.7451919720784668,90.75,No,New (0-1y),No,No
Female,64,No,No,No,0,Vallejo,94590,38.104705,-122.247387,0,4,Yes,36.76,Yes,Yes,Fiber Optic,20,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Credit Card,89.6,365.65,0.0,0,147.04,512.6899999999999,Yes,37218,Yes,1,Yes,No,3,4.47999776000112,91.4125,No,New (0-1y),No,Yes
Male,21,Yes,No,No,0,Oakland,94601,37.776523,-122.219268,0,2,No,0.0,No,Yes,DSL,51,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,49.25,90.35,0.0,0,0.0,90.35,Yes,54876,No,1,Yes,No,4,0.9656860851595911,45.175,Yes,New (0-1y),No,No
Male,43,No,No,No,3,Emeryville,94608,37.83726,-122.287648,0,1,Yes,11.91,No,No,No Internet Service,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.75,19.75,0.0,0,11.91,31.66,Yes,24589,Yes,4,No,No,0,1974999.9999999998,19.75,No,New (0-1y),No,No
Female,64,No,No,No,0,Oakland,94609,37.834341,-122.26437,0,19,Yes,32.87,Yes,Yes,Fiber Optic,17,Yes,Yes,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,95.15,1789.25,0.0,120,624.53,2533.78,Yes,21097,Yes,1,Yes,No,5,5.5970555311438055,94.17105263157895,Yes,Standard (1-2y),No,No
Male,44,No,No,No,0,Oakland,94618,37.84551,-122.235181,0,22,Yes,10.33,Yes,Yes,Fiber Optic,19,Yes,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101.35,2317.1,0.0,0,227.26,2544.36,Yes,15438,Yes,1,Yes,No,5,5.334207718838043,105.32272727272726,No,Standard (1-2y),No,Yes
Female,46,No,No,No,0,Berkeley,94703,37.863843,-122.275684,0,4,Yes,12.58,No,Yes,Fiber Optic,19,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,70.05,266.9,0.0,0,50.32,317.22,Yes,19763,Yes,1,Yes,No,0,3.686840164820966,66.725,Yes,New (0-1y),No,Yes
Male,24,Yes,No,Yes,0,Berkeley,94705,37.858898,-122.240512,8,4,Yes,48.64,Yes,Yes,Fiber Optic,30,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.65,301.4,0.0,0,194.56,495.96,Yes,12448,No,2,No,No,1,2.4883325038891657,75.35,No,New (0-1y),Yes,No
Male,60,No,No,No,0,Berkeley,94708,37.897743,-122.263124,0,4,Yes,30.44,Yes,Yes,Cable,10,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,50.4,206.6,0.0,0,121.76,328.36,Yes,10737,Yes,1,Yes,No,1,5.03999496000504,51.65,No,New (0-1y),No,Yes
Female,61,No,No,No,0,Berkeley,94709,37.878554,-122.26609,0,7,Yes,40.32,Yes,Yes,Fiber Optic,18,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,79.65,604.7,0.0,0,282.24,886.94,Yes,10147,Yes,1,Yes,No,2,4.4249975416680325,86.38571428571429,No,New (0-1y),No,Yes
Male,55,No,No,Yes,0,Richmond,94805,37.941456,-122.320968,1,5,Yes,1.16,Yes,Yes,Fiber Optic,7,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,78.75,412.1,0.0,10,5.8,427.9,Yes,13984,Yes,2,No,No,2,11.249983928594387,82.42,No,New (0-1y),Yes,No
Female,47,No,No,No,0,Inverness,94937,38.099323,-122.945723,0,1,Yes,46.49,Yes,Yes,DSL,14,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,50.1,50.1,0.0,0,46.49,96.59,Yes,1004,Yes,1,Yes,No,1,3.5785688724508056,50.1,No,New (0-1y),No,Yes
Male,19,Yes,No,Yes,0,Marshall,94940,38.129308,-122.834815,1,2,Yes,20.5,No,Yes,Fiber Optic,51,No,No,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,76.4,151.8,0.0,0,41.0,192.8,Yes,406,No,2,No,No,1,1.4980389219531525,75.9,Yes,New (0-1y),Yes,No
Male,28,Yes,No,No,0,Mill Valley,94941,37.901371,-122.572024,0,3,Yes,32.76,No,Yes,Fiber Optic,73,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,98.7,293.65,0.0,0,98.28,391.93,Yes,28727,No,1,Yes,No,5,1.3520546093075878,97.88333333333333,Yes,New (0-1y),No,No
Female,37,No,No,Yes,0,Novato,94949,38.067204,-122.524004,1,28,Yes,18.31,No,Yes,Fiber Optic,13,No,No,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,90.1,2598.95,0.0,0,512.68,3111.63,Yes,13361,Yes,2,No,No,3,6.930763899412385,92.81964285714285,No,Loyal (2-4y),Yes,Yes
Male,47,No,No,No,0,Sausalito,94965,37.848641,-122.515692,0,15,Yes,3.15,Yes,Yes,DSL,26,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,51.55,765.5,0.0,20,47.25,832.75,Yes,11213,Yes,1,Yes,No,1,1.9826915451186364,51.03333333333333,Yes,Standard (1-2y),No,No
Male,44,No,No,No,0,Aromas,95004,36.878364,-121.629781,0,5,Yes,40.15,Yes,Yes,Fiber Optic,19,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.85,462.8,0.0,0,200.75,663.55,Yes,3373,Yes,1,Yes,No,4,4.9921026357354545,92.56,Yes,New (0-1y),No,Yes
Female,39,No,No,No,0,Boulder Creek,95006,37.171727,-122.142961,0,2,Yes,14.07,Yes,Yes,Fiber Optic,6,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,85.7,169.8,0.0,0,28.14,197.94,Yes,10520,Yes,1,Yes,No,3,14.283309527817455,84.9,Yes,New (0-1y),No,Yes
Female,58,No,No,No,0,Los Gatos,95030,37.222842,-121.988727,0,1,Yes,26.53,No,Yes,DSL,30,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,44.4,44.4,0.0,0,26.53,70.93,Yes,13290,Yes,1,Yes,No,0,1.479999506666831,44.4,No,New (0-1y),No,No
Male,44,No,No,No,0,San Juan Bautista,95045,36.810568,-121.503022,0,4,No,0.0,No,Yes,Cable,20,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,44.55,174.3,0.0,10,0.0,184.3,Yes,3402,Yes,1,Yes,No,3,2.2274988862505567,43.575,Yes,New (0-1y),No,No
Male,41,No,No,Yes,3,Santa Clara,95054,37.393554,-121.965114,1,31,No,0.0,No,Yes,DSL,23,Yes,No,No,Yes,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,35.4,1077.5,0.0,0,0.0,1077.5,Yes,13031,Yes,5,No,No,2,1.539129765595754,34.75806451612903,Yes,Loyal (2-4y),Yes,No
Female,45,No,No,No,0,Santa Cruz,95060,36.993451,-122.098858,0,1,Yes,32.33,Yes,Yes,Fiber Optic,9,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Credit Card,95.65,95.65,0.0,0,32.33,127.98,Yes,43192,Yes,1,Yes,No,4,10.627765969148925,95.65,No,New (0-1y),No,Yes
Female,19,Yes,No,No,0,Santa Cruz,95065,37.031404,-121.981865,0,1,Yes,40.48,No,No,No Internet Service,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,20.95,20.95,0.0,0,40.48,61.42999999999999,Yes,8365,No,1,Yes,No,0,2094999.9999999998,20.95,No,New (0-1y),No,No
Female,54,No,No,No,0,San Jose,95120,37.186141,-121.843554,0,15,Yes,39.84,No,No,No Internet Service,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,19.75,297.3,0.0,0,597.6,894.9000000000001,Yes,37090,Yes,1,Yes,No,0,1974999.9999999998,19.82,No,Standard (1-2y),No,No
Male,42,No,No,Yes,0,San Jose,95121,37.304681,-121.809955,1,17,Yes,17.71,Yes,Yes,Fiber Optic,13,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,92.55,1515.1,0.0,0,301.07,1816.17,Yes,37127,Yes,2,No,No,4,7.119225292903621,89.12352941176471,Yes,Standard (1-2y),Yes,Yes
Male,28,Yes,No,No,0,San Jose,95130,37.277592,-121.986477,0,9,Yes,49.14,Yes,Yes,Fiber Optic,58,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.35,758.6,0.0,0,442.26,1200.86,Yes,13481,No,1,Yes,No,2,1.4715514704221602,84.28888888888889,Yes,New (0-1y),No,No
Female,48,No,No,No,0,San Jose,95131,37.387027,-121.897775,0,25,Yes,1.37,No,Yes,DSL,21,Yes,Yes,Yes,Yes,Yes,No,No,Yes,One Year,No,Credit Card,74.3,1863.8,0.0,0,34.25,1898.05,Yes,26389,Yes,1,Yes,No,5,3.538093553288784,74.55199999999999,No,Loyal (2-4y),No,No
Female,34,No,No,No,0,San Jose,95135,37.28682,-121.723877,0,4,Yes,5.63,No,Yes,Fiber Optic,18,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,98.1,396.3,0.0,0,22.52,418.82,Yes,15798,Yes,1,Yes,No,5,5.449996972223905,99.075,No,New (0-1y),No,Yes
Female,63,No,No,No,0,Stockton,95202,37.959706,-121.287669,0,50,Yes,27.7,Yes,Yes,Fiber Optic,28,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,109.65,5551.15,0.0,0,1385.0,6936.15,Yes,7071,Yes,1,Yes,No,7,3.9160700299749895,111.023,No,Very Loyal (4y+),No,No
Male,32,No,No,No,0,Stockton,95210,38.033219,-121.297433,0,3,Yes,11.94,Yes,Yes,Cable,30,No,No,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,100.95,329.95,0.0,10,35.82,375.77,Yes,40611,Yes,1,Yes,No,5,3.3649988783337075,109.98333333333333,No,New (0-1y),No,No
Male,25,Yes,No,No,0,Stockton,95212,38.049457,-121.21653,0,10,Yes,40.22,No,Yes,Fiber Optic,41,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.9,1048.85,0.0,0,402.2,1451.05,Yes,6951,No,1,Yes,No,4,2.3146335817966874,104.88499999999999,No,New (0-1y),No,No
Male,53,No,No,Yes,0,Avery,95224,38.208336,-120.339938,1,9,No,0.0,No,Yes,DSL,15,No,No,No,No,No,No,No,Yes,One Year,No,Bank Withdrawal,24.1,259.8,0.0,0,0.0,259.8,Yes,115,Yes,2,No,No,0,1.6066655955562699,28.866666666666667,No,New (0-1y),Yes,Yes
